[09-Jun-2017 14:59:40 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:07:42 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:14:57 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:14:57 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:16:08 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:16:08 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:16:22 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:16:42 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:16:42 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:16:46 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:16:46 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:17:14 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:17:14 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:17:26 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:17:58 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:17:58 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:18:31 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:18:58 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:18:58 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:20:58 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:20:59 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:21:11 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:21:36 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:22:08 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:22:08 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 15:22:23 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 15:22:23 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:22:51 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:24:03 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:24:04 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:24:27 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:24:28 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:24:39 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:24:39 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:26:05 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:26:06 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:26:22 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:26:22 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:26:35 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:26:35 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:26:41 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:26:41 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:26:52 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:26:52 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:29:47 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:29:47 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:33:11 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:33:11 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:33:37 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:33:37 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:33:55 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:33:55 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:37:19 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
[09-Jun-2017 20:37:19 UTC] PHP Notice:  ob_end_flush(): failed to send buffer of zlib output compression (1) in /home/u259071589/public_html/wp-includes/functions.php on line 3327
[09-Jun-2017 20:49:23 UTC] PHP Notice:  has_cap foi chamado com um argumento que está <strong>obsoleto</strong> desde a versão 2.0! O uso de níveis de usuário por plugins e temas está obsoleto. Use funções e permissões no lugar. in /home/u259071589/public_html/wp-includes/functions.php on line 3553
